Species,Population,Lat,Long,Max_SVL,Mass,SVL_Fmat,SVL_hatchling,Clutch_size,n_Clutch_size,Reproductive_mode,Clutch_freq,RCM,Foraging_mode,Distribution,Habitat,Presence_Phylogeny,genus,species
Crocodilurus_amazonicus,"Humaita, 1991 - 2003",-7.51,-63.03,320,1106.7,205,80,5.7,3,Oviparous,1,0.132,Active,Tropical,Aquatic,1,Crocodilurus,amazonicus
Cordylus_polyzonus,"Saldanha bay, South Africa",-33.02,18.19,116,46,89,47.41,2.3,36,Viviparous,1,NA,Sit and wait,Tropical,Saxicolous,1,Cordylus,polyzonus
Menetia_greyii,Australia,-27.89,123.09,40,1.1,29,NA,1.5,41,Oviparous,1,0.159,Active,Temperate,Terrestrial,1,Menetia,greyii
Ctenotus_nasutus,Australia,-28.18,123.7,46,1.8,42,22,1.8,26,Oviparous,1,0.186,Active,Temperate,Terrestrial,1,Ctenotus,nasutus
Cryptoblepharus_buchananii,Australia,-28.5,120.89,49.3,2.2,36,22,2,12,Oviparous,1,0.219,Active,Temperate,Arboreal,0,Cryptoblepharus,buchananii
Ctenotus_calurus,Australia,-27.79,123.45,50,2.3,44,25,1.8,9,Oviparous,1,0.121,Active,Temperate,Terrestrial,1,Ctenotus,calurus
Sphenomorphus_tanneri,"Bougainville, Matsiogu",-6.05,155.19,52,2.6,41,NA,2,NA,Oviparous,NA,NA,Active,Tropical,Fossorial,0,Sphenomorphus,tanneri
Lipinia_noctua,American Samoa,-14.31,-170.7,54,2.9,39,15.5,1.8,NA,Viviparous,1,NA,Active,Tropical,Arboreal,1,Lipinia,noctua
Lampropholis_delicata,Hawaii,19.9,-155.58,55,3.1,NA,NA,4.7,NA,Oviparous,1,NA,Sit and wait,Tropical,Terrestrial,1,Lampropholis,delicata
Ctenotus_brooksi,Australia,-28.15,123.75,57,3.5,44,21,1.9,14,Oviparous,1,0.134,Active,Temperate,Terrestrial,1,Ctenotus,brooksi
Ctenotus_schomburgkii,Australia,-28.05,122.99,57,3.5,43,27,2.3,10,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Ctenotus,schomburgkii
Trachylepis_variegata,"Africa, 1969-1970",-26.9,20.63,57,3.5,39,19,1.8,6,Viviparous,1,0.11,Active,Temperate,Terrestrial,1,Trachylepis,variegata
Cryptoblepharus_boutonii,American Samoa,-14.31,-170.7,58,3.7,40,NA,1.9,NA,Oviparous,1,NA,Active,Tropical,Saxicolous,1,Cryptoblepharus,boutonii
Scincella_lateralis,"University of Florida, Gainesville",29.65,-82.35,59,3.9,NA,NA,2.5,NA,Oviparous,2,NA,Active,Temperate,Terrestrial,1,Scincella,lateralis
Ctenotus_piankai,Australia,-28.31,124.23,60,4.1,48,26,2.5,10,Oviparous,1,0.167,Active,Temperate,Terrestrial,1,Ctenotus,piankai
Ctenotus_leae,Australia,-28.18,123.7,62,4.6,58,38,2.8,5,Oviparous,1,0.108,Active,Temperate,Terrestrial,1,Ctenotus,leae
Ctenotus_ariadnae,Australia,-28.31,123.29,64.3,5.1,62,29,3.5,4,Oviparous,1,NA,Active,Temperate,Terrestrial,0,Ctenotus,ariadnae
Emoia_cyanura,American Samoa,-14.31,-170.7,65,5.4,40,22,2,NA,Oviparous,NA,0.17,Active,Tropical,Terrestrial,1,Emoia,cyanura
Ctenotus_dux,Australia,-27.51,122.9,66.5,5.4,63,29,2.8,12,Oviparous,1,0.192,Active,Temperate,Terrestrial,0,Ctenotus,dux
Lerista_bipes,Australia,-28.31,123.92,67,2,48,23,2,3,Oviparous,1,0.147,Active,Temperate,Fossorial,1,Lerista,bipes
Panaspis_nimbaensis,"Lamto, Ivory Coast",6.22,-5.02,68,6.2,45,NA,2.5,NA,Oviparous,2,NA,Active,Tropical,Terrestrial,0,Panaspis,nimbaensis
Scincella_cherriei,Costa Rica,9.75,-83.75,68,6.2,44,NA,2,NA,Oviparous,2,NA,Active,Tropical,Terrestrial,0,Scincella,cherriei
Ctenotus_quattuordecimlineatus,Australia,-28.31,124.23,71,7.1,62,30,3.6,12,Oviparous,1,0.203,Active,Temperate,Terrestrial,1,Ctenotus,quattuordecimlineatus
Oligosoma_zelandicum,"Victoria university, New Zealand",-41.29,174.77,73,7.8,54,NA,5.1,NA,Viviparous,1,NA,Active,Temperate,Terrestrial,1,Oligosoma,zelandicum
Ctenotus_hanloni,Australia,-28.31,123.29,73.3,7.9,68,39,3.2,5,Oviparous,1,0.258,Active,Temperate,Terrestrial,1,Ctenotus,hanloni
Ctenotus_atlas,Australia,-28.5,119.1,75,8.5,68,47,1.5,2,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Ctenotus,atlas
Ctenotus_leonhardii,Australia,-27.62,121.45,79,10.1,70,37,5.6,5,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Ctenotus,leonhardii
Egernia_inornata,Australia,-28.3,123.59,85,12.7,69,36,2.1,35,Viviparous,1,0.123,Active,Temperate,Terrestrial,1,Egernia,inornata
Mabuya_macrorhyncha,Alcatrazes,-24.1,-45.7,85,12.7,NA,NA,2.3,3,Viviparous,NA,NA,Active,Tropical,Bromelicolous,1,Mabuya,macrorhyncha
Ctenotus_taeniolatus,New South Wales,-31.25,146.92,89,14.8,52.3,33,3.7,NA,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Ctenotus,taeniolatus
Mabuya_caissara,Bertioga,-23.86,-46.14,90,15.3,NA,NA,4.8,12,Viviparous,1,NA,Active,Tropical,Arboreal,1,Mabuya,caissara
Mabuya_frenata,Minacu,-13.83,-48.3,91,15.9,NA,NA,3.8,31,Viviparous,2,NA,Active,Tropical,Terrestrial,1,Mabuya,frenata
Mabuya_heathi,"Exu, 1977",-7.51,-39.71,92,16.4,NA,NA,5,131,Viviparous,1,0.326,Active,Tropical,Terrestrial,1,Mabuya,heathi
Mabuya_unimarginata,"Nicaragua, 1991, Momotombo, Chococente - dry forest",11.48,-86.14,92,16.4,41,28,6.3,3,Viviparous,1,NA,Active,Tropical,Arboreal,1,Mabuya,unimarginata
Emoia_adspersa,American Samoa,-14.31,-170.7,93,17,70,NA,1.9,NA,Oviparous,2,NA,Active,Tropical,Terrestrial,0,Emoia,adspersa
Trachylepis_spilogaster,"Africa, 1969-1970",-26.49,21.65,93,17,60,26,4.2,39,Viviparous,1,0.208,Active,Temperate,Arboreal,1,Trachylepis,spilogaster
Mabuya_agilis,Barra de Marica,-22.95,-42.77,96,18.9,NA,NA,3.5,18,Viviparous,1,NA,Active,Tropical,Terrestrial,1,Mabuya,agilis
Mabuya_agmosticha,"Catimbau, 2013",-8.59,-37.25,96,18.9,58.5,33.28,4.3,3,Viviparous,1,NA,Active,Tropical,Bromelicolous,1,Mabuya,agmosticha
Mabuya_guaporicola,Cerrado,-11.34,-50.33,98,20.2,43,37,4.3,4,Viviparous,1,NA,Active,Tropical,Psammophilus,1,Mabuya,guaporicola
Trachylepis_maculilabris,"Lamto, Ivory Coast",6.22,-5.02,98,20.2,58,NA,5.5,NA,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Trachylepis,maculilabris
Emoia_atrocostata,"Negros, Philippines",9.82,122.91,100,21.5,80,35,2,NA,Oviparous,NA,NA,Active,Tropical,Terrestrial,1,Emoia,atrocostata
Ctenotus_helenae,Australia,-27.79,123.45,101,22.2,85,36,3.7,21,Oviparous,1,NA,Active,Temperate,Terrestrial,0,Ctenotus,helenae
Emoia_lawesi,American Samoa,-14.31,-170.7,106,26,85,32,1.8,NA,Oviparous,NA,0.121,Active,Tropical,Terrestrial,0,Emoia,lawesi
Egernia_striata,Australia,-27.79,123.45,112,31,80,43,2.6,43,Viviparous,1,0.238,Active,Temperate,Terrestrial,1,Egernia,striata
Egernia_whitii,"Table Cape, Tasmania",-40.96,145.71,113,31.9,78,35,3.5,NA,Viviparous,NA,NA,Active,Temperate,Terrestrial,1,Egernia,whitii
Trachylepis_striata,"Africa, 1969-1970",-27.03,21.25,113,31.9,73,30,5.6,48,Viviparous,1,0.239,Active,Temperate,Arboreal,1,Trachylepis,striata
Trachylepis_occidentalis,"Africa, 1969-1970",-27.03,21.25,115,33.8,83,32,6.3,12,Oviparous,1,0.16,Active,Temperate,Terrestrial,1,Trachylepis,occidentalis
Mabuya_mabouya,Dominica,15.41,-61.37,116,34.8,65,29,3.3,NA,Viviparous,NA,NA,Active,Tropical,Terrestrial,1,Mabuya,mabouya
Emoia_samoensis,American Samoa,-14.31,-170.7,118,36.7,84,31,5.3,NA,Oviparous,NA,0.127,Active,Tropical,Arboreal,0,Emoia,samoensis
Ctenotus_grandis,Australia,-28.08,123.19,122,40.9,79,33,4,1,Oviparous,1,0.228,Active,Temperate,Terrestrial,1,Ctenotus,grandis
Ctenotus_pantherinus,Australia,-27.87,122.97,126,45.4,83,32,5.5,26,Oviparous,1,0.185,Active,Temperate,Terrestrial,1,Ctenotus,pantherinus
Emoia_nigra,American Samoa,-14.31,-170.7,128,47.8,86,39.1,2.3,NA,Oviparous,NA,0.115,Active,Tropical,Terrestrial,0,Emoia,nigra
