species,id,height_low,height_high,flowerheads_per_plant,floweringstems_per_plant,plant_northing,plant_easting
ARTFRI,340b,15,46.5,390,8,5192379.381,692699.136
ARTFRI,341b,24,47,890,16,5192380.025,692698.806
ARTFRI,342b,28,46.5,560,10,5192379.867,692698.51
ARTFRI,343b,12,48.5,1580,54,5192374.155,692710.42
ARTFRI,335b,25,38.5,110,2,5192382.338,692697.206
ARTFRI,332b,17,45.5,1240,34,5192385.83,692688.731
ARTFRI,337b,33,66,650,12,5192381.777,692699.118
ARTFRI,336b,13,35,350,9,5192381.847,692697.393
ARTFRI,344b,23,53,800,30,5192372.927,692710.151
ARTFRI,360b,19,40,240,16,5192371.907,692742.518
ARTFRI,366b,15,48,310,8,5192397.341,692711.501
ARTFRI,364b,10,38,140,9,5192389.663,692726.047
ARTFRI,361b,13,40,580,19,5192392.024,692732.257
ARTFRI,362b,15,38,610,30,5192391.503,692731.98
ARTFRI,363b,3,40,410,19,5192391.883,692727.237
ARTFRI,365b,22,47,570,21,5192398.02,692709.961
ARTFRI,236b,17,35,600,50,5192245.153,692725.896
ARTFRI,237b,3,34,770,27,5192244.768,692726.663
ARTFRI,238b,13,34,710,18,5192244.938,692726.549
ARTFRI,240b,10,32,570,16,5192244.853,692727.435
ARTFRI,241b,12,36,380,10,5192245.68,692727.396
ARTFRI,242b,19,50,1280,46,5192245.853,692727.194
ARTFRI,239b,18,39,810,23,5192245.108,692726.404
ARTFRI,244b,15,38,1230,29,5192246.034,692726.651
ARTFRI,245b,17.5,36,640,17,5192245.722,692726.597
ARTFRI,246b,16,22.5,50,1,5192244.579,692725.604
ARTFRI,243b,22,36,760,26,5192246.01,692727.361
ARTFRI,e7,21,32,110,4,5192256.798,692719.681
ARTFRI,208b,12,27,130,4,5192261.054,692714.436
ARTFRI,209b,9,47.5,1640,46,5192252.99,692710.8
ARTFRI,210b,7,48.5,990,25,5192253.367,692707.917
ARTFRI,211b,5,36,1190,27,5192251.893,692703.746
ARTFRI,212b,27,49,640,18,5192245.288,692701.861
ARTFRI,213b,4,30,90,5,5192245.118,692703.229
ARTFRI,e9,12,33,210,6,5192256.955,692719.466
ARTFRI,228b,17,44,1060,17,5192256.849,692724.305
ARTFRI,229b,13,51,3340,109,5192252.577,692724.026
ARTFRI,230b,5,53,2370,110,5192251.747,692724.267
ARTFRI,231b,6,34,270,8,5192262.019,692727.584
ARTFRI,232b,14,35,130,5,5192258.565,692739.626
ARTFRI,233b,24,40,120,7,5192251.129,692731.592
ARTFRI,234b,19,48,580,15,5192250.369,692728.612
ARTFRI,235b,10,38,410,12,5192247.541,692725.349
ARTFRI,261b,24,31,70,6,5192273.943,692734.418
ARTFRI,247b,16,38,340,12,5192258.831,692726.322
ARTFRI,248b,22,37,90,6,5192268.052,692739.207
ARTFRI,249b,18,23,20,4,5192267.674,692739.077
ARTFRI,260b,22,31,100,7,5192272.689,692734.395
ARTFRI,251b,12,52,270,26,5192270.639,692738.03
ARTFRI,252b,17,26,60,3,5192271.26,692738.311
ARTFRI,253b,19,38,160,9,5192266.378,692734.867
ARTFRI,250b,24,39,130,13,5192268.166,692738.214
ARTFRI,255b,16,37,240,7,5192267.253,692735.392
ARTFRI,256b,24,25,10,1,5192270.96,692735.364
ARTFRI,257b,10,30,15,2,5192271.301,692735.501
ARTFRI,254b,23,31,90,5,5192267.075,692735.202
ARTFRI,259b,26,36,90,4,5192272.655,692734.52
ARTFRI,264b,12,40,240,8,5192285.752,692738.084
ARTFRI,265b,11,31,150,6,5192285.209,692738.817
ARTFRI,262b,17,38,260,14,5192282.71,692737.709
ARTFRI,263b,21,34,120,7,5192281.868,692740.745
ARTFRI,268b,22,50,2010,82,5192284.381,692748.712
ARTFRI,266b,22,50,110,7,5192287.753,692742.076
ARTFRI,267b,24,39,110,2,5192286.754,692745.647
ARTFRI,258b,18,30,110,6,5192270.464,692734.479
ARTFRI,206b,8,17,110,8,5192281.143,692708.109
ARTFRI,205b,3,39,600,6,5192279.538,692703.569
ARTFRI,175b,10,47,1580,49,5192302.38,692702.363
ARTFRI,176b,13,53,1810,28,5192312.419,692710.728
ARTFRI,190b,14,50,800,28,5192279.029,692700.56
ARTFRI,191b,19,42,690,15,5192282.076,692702.044
ARTFRI,192b,12,39,1370,28,5192282.382,692702.569
ARTFRI,193b,2,40,2730,56,5192283.398,692702.474
ARTFRI,194b,9,17,190,3,5192283.529,692702.718
ARTFRI,195b,7,43,1540,27,5192282.308,692705.817
ARTFRI,196b,15,28,170,5,5192282.309,692706.214
ARTFRI,197b,5,39,900,30,5192280.881,692707.267
ARTFRI,198b,9,38,650,16,5192280.294,692708.065
ARTFRI,200b,11,36,180,2,5192280.452,692705.092
ARTFRI,201b,7,38,410,5,5192280.53,692704.673
ARTFRI,202b,15,19,40,2,5192280.787,692703.419
ARTFRI,199b,13,18,30,1,5192280.953,692705.813
ARTFRI,203b,20,34,80,2,5192280.859,692703.217
ARTFRI,204b,11,27,200,7,5192279.635,692704.723
ARTFRI,179b,22,40,620,15,5192282.77,692698.257
ARTFRI,180b,18,45,680,18,5192282.444,692699.278
ARTFRI,181b,4,34,1500,23,5192282.512,692698.125
ARTFRI,182b,10,44,2260,72,5192282.062,692699.104
ARTFRI,183b,16,19,50,2,5192281.471,692699.076
ARTFRI,184b,14,59,2020,35,5192282.41,692699.724
ARTFRI,185b,18,38,490,14,5192281.996,692700.008
ARTFRI,186b,15,25,740,21,5192282.092,692700.276
ARTFRI,187b,8,41,710,10,5192282.479,692700.877
ARTFRI,188b,8,41,1430,25,5192281.448,692701.84
ARTFRI,189b,14,50,1080,38,5192279.993,692700.772
ARTFRI,177b,11,38,1120,33,5192283.303,692699.445
ARTFRI,178b,23,47,1050,43,5192282.723,692699.174
ARTFRI,e8,20,22,20,1,5192284.343,692702.39
ARTFRI,7,9,18,50,4,5192280.042,692611.579
ARTFRI,10,13.5,19,25,2,5192279.705,692611.566
ARTFRI,24,19.5,35,70,1,5192279.573,692611.825
ARTFRI,35,12.5,34.5,1010,22,5192277.947,692609.887
ARTFRI,38,15,29,450,17,5192278.587,692611.409
ARTFRI,39,14,32,140,6,5192277.74,692610.531
ARTFRI,43,3,27,620,15,5192277.889,692611.777
ARTFRI,44,15,28.5,80,2,5192277.223,692611.218
ARTFRI,45,14,29.5,660,26,5192277.302,692611.725
ARTFRI,47,12,25.5,160,5,5192278.929,692612.973
ARTFRI,53,7,32.5,1270,27,5192279.754,692609.781
ARTFRI,59,12,26,210,5,5192277.985,692612.249
ARTFRI,60,7,28,200,8,5192279.293,692609.249
ARTFRI,69,10,35.5,1290,39,5192276.645,692611.588
ARTFRI,78,11.5,30,400,15,5192279.778,692611.105
ARTFRI,95,10,31.5,1080,32,5192279.903,692611.189
ARTFRI,134,12.5,28,360,16,5192276.825,692611.889
ARTFRI,135,16,23.5,110,5,5192276.587,692611.812
ARTFRI,136,12,36.5,830,24,5192275.115,692611.029
ARTFRI,137,9,21,60,1,5192274.869,692611.487
ARTFRI,138,13,29,1020,27,5192276.844,692612.393
ARTFRI,139,14,35,1640,51,5192276.402,692612.534
ARTFRI,140,12,39,590,23,5192275.363,692611.772
ARTFRI,141,14,31,660,41,5192275.675,692611.677
ARTFRI,142,11,31.5,260,8,5192275.941,692613.175
ARTFRI,143,8,31.5,190,9,5192275.795,692613.111
ARTFRI,144,15,31,260,10,5192275.481,692613.057
ARTFRI,145,9,25.5,250,10,5192275.909,692613.003
ARTFRI,146,16,29.5,130,4,5192276.461,692613.896
ARTFRI,147,7,13.5,20,1,5192274.905,692613.497
ARTFRI,148,14,32,190,4,5192274.722,692613.771
ARTFRI,149,13,35.5,440,18,5192274.638,692613.912
ARTFRI,150,13.5,28,110,4,5192276.058,692613.894
ARTFRI,151,7,30,1520,57,5192268.627,692617.084
ARTFRI,152,16.5,35,340,20,5192269.846,692617.388
ARTFRI,153,12,32,720,20,5192277.309,692617.408
ARTFRI,154,16,44,1500,40,5192276.667,692617.51
ARTFRI,155,16,45,370,10,5192276.159,692617.853
ARTFRI,156,16,39.5,320,7,5192278.666,692622.336
ARTFRI,157,13,39,3320,45,5192278.176,692624.867
ARTFRI,158,14.5,46,5130,91,5192278.527,692625.306
ARTFRI,159,9,49,5210,86,5192277.709,692625.613
ARTFRI,160,13,39.5,310,2,5192278.942,692623.929
ARTFRI,161,16.5,24,120,4,5192279.188,692623.807
ARTFRI,162,19,40.5,100,3,5192279.413,692623.417
ARTFRI,163,19,36,240,6,5192278.818,692624.134
ARTFRI,164,29,46,170,5,5192278.591,692624.512
ARTFRI,165,4,30,70,2,5192279.321,692624.189
ARTFRI,166,22,35,690,14,5192279.416,692623.854
ARTFRI,167,13,15,10,1,5192279.438,692623.661
ARTFRI,168,13,18.5,90,3,5192279.687,692623.501
ARTFRI,169,31,49,4130,52,5192279.986,692622.673
ARTFRI,170,18,31,220,6,5192279.006,692624.961
ARTFRI,171,13,36,480,10,5192279.352,692625.21
ARTFRI,172,6,29,820,19,5192280.656,692624.531
ARTFRI,173,17,46,900,18,5192281.11,692623.617
ARTFRI,174,16,37.5,420,15,5192281.259,692623.81
ARTFRI,175,12.5,23,70,4,5192281.976,692623.986
ARTFRI,176,24,51,1650,28,5192282.134,692623.171
ARTFRI,177,19,29.5,90,4,5192282.938,692622.205
ARTFRI,178,15,38.5,1080,38,5192283.013,692621.609
ARTFRI,179,15,36,450,18,5192283.2,692621.992
ARTFRI,180,24,35.5,280,6,5192283.291,692622.235
